_id,date,season,opponent,nuscore,oppscore,location,deleted
157,30-Oct-10,2010-11,Bentley,1,2,home,0
158,5-Nov-10,2010-11,Niagara,1,4,home,0
159,12-Nov-10,2010-11,Maine,2,4,away,0
160,13-Nov-10,2010-11,Maine,2,4,away,0
161,19-Nov-10,2010-11,Providence,3,3,away,0
162,20-Nov-10,2010-11,Providence,5,0,home,0
163,26-Nov-10,2010-11,Vermont,2,2,away,0
164,3-Dec-10,2010-11,Merrimack,1,2,home,0
165,4-Dec-10,2010-11,Merrimack,2,1,away,0
166,8-Dec-10,2010-11,boston university,4,5,away,0
167,7-Jan-11,2010-11,Massachusetts,5,3,away,0
168,8-Jan-11,2010-11,Umass Lowell,3,1,home,0
169,14-Jan-11,2010-11,Vermont,1,3,home,0
170,15-Jan-11,2010-11,Vermont,2,0,home,0
171,19-Jan-11,2010-11,Harvard,3,0,home,0
172,22-Jan-11,2010-11,Maine,3,3,home,0
173,28-Jan-11,2010-11,Massachusetts,3,0,home,0
174,29-Jan-11,2010-11,Massachusetts,2,2,away,0
175,4-Feb-11,2010-11,Merrimack,3,4,home,0
176,7-Feb-11,2010-11,Harvard,4,0,neutral,0
177,11-Feb-11,2010-11,Umass Lowell,3,2,away,0
178,14-Feb-11,2010-11,boston college,6,7,neutral,0
179,18-Feb-11,2010-11,boston college,7,7,away,0
180,19-Feb-11,2010-11,boston college,2,1,home,0
181,25-Feb-11,2010-11,New Hampshire,2,2,away,0
182,26-Feb-11,2010-11,New Hampshire,3,6,home,0
183,4-Mar-11,2010-11,boston university,2,3,home,0
184,5-Mar-11,2010-11,boston university,4,3,away,0
185,10-Mar-11,2010-11,boston university,4,2,away,0
186,11-Jan-11,2010-11,boston university,2,5,away,0
187,13-Mar-11,2010-11,boston university,5,4,away,0
188,18-Mar-11,2010-11,boston college,4,5,neutral,0
189,2-Oct-11,2011-12,St. Francis Xavier,,,home,0
190,7-Oct-11,2011-12,Massachusetts,,,home,0
191,9-Oct-11,2011-12,Maine,,,away,0
192,14-Oct-11,2011-12,New Hampshire,,,home,0
193,21-Oct-11,2011-12,Merrimack,,,away,0
194,22-Oct-11,2011-12,boston college,,,home,0
195,29-Oct-11,2011-12,New Hampshire,,,away,0
196,4-Nov-11,2011-12,Merrimack,,,away,0
197,5-Nov-11,2011-12,Merrimack,,,home,0
198,11-Nov-11,2011-12,boston college,,,away,0
199,12-Nov-11,2011-12,Massachusetts,,,away,0
200,18-Nov-11,2011-12,Providence,,,away,0
201,19-Nov-11,2011-12,Vermont,,,home,0
202,25-Nov-11,2011-12,Michigan,,,away,0
203,2-Dec-11,2011-12,Notre Dame,,,away,0
204,3-Dec-11,2011-12,Notre Dame,,,away,0
205,10-Dec-11,2011-12,UMass Lowell,,,home,0
206,30-Dec-11,2011-12,Princeton,,,neutral,0
207,31-Dec-11,2011-12,Minnesota / Niagara,,,neutral,0
208,7-Jan-12,2011-12,U-18 USNTDP,,,home,0
209,13-Jan-12,2011-12,boston university,,,home,0
210,14-Jan-12,2011-12,boston college,,,away,0
211,20-Jan-12,2011-12,UMass Lowell,,,away,0
212,21-Jan-12,2011-12,UMass Lowell,,,home,0
